Subject	Object
RO:0002161	RO:0002161
obo:UBPROP_0000001	UBPROP:0000001
obo:UBPROP_0000002	UBPROP:0000002
obo:UBPROP_0000003	UBPROP:0000003
obo:UBPROP_0000007	UBPROP:0000007
obo:UBPROP_0000008	UBPROP:0000008
obo:UBPROP_0000100	UBPROP:0000100
obo:UBPROP_0000101	UBPROP:0000101
obo:UBPROP_0000111	UBPROP:0000111
dce:creator	http://purl.org/dc/elements/1.1/creator
rdfs:seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso
BFO:0000050	BFO:0000050
BFO:0000051	BFO:0000051
BFO:0000054	BFO:0000054
RO:0000052	RO:0000052
RO:0001015	RO:0001015
RO:0001019	RO:0001019
RO:0001025	RO:0001025
RO:0002131	RO:0002131
RO:0002160	RO:0002160
RO:0002162	RO:0002162
RO:0002180	RO:0002180
RO:0002202	RO:0002202
RO:0002215	RO:0002215
RO:0002330	RO:0002330
RO:0002353	RO:0002353
RO:0002436	RO:0002436
RO:0002451	RO:0002451
RO:0002503	RO:0002503
RO:0002573	RO:0002573
RO:0003000	RO:0003000
RO:0004020	RO:0004020
RO:0004022	RO:0004022
RO:0004024	RO:0004024
RO:0004025	RO:0004025
RO:0004026	RO:0004026
RO:0004027	RO:0004027
RO:0004029	RO:0004029
RO:0020337	RO:0020337
RO:0020339	RO:0020339
dbpedia:Albania	GAZ:00002953
dbpedia:Algeria	GAZ:00000563
dbpedia:Angola	GAZ:00001095
dbpedia:Argentina	GAZ:00002928
dbpedia:Armenia	GAZ:00004094
dbpedia:Australia	GAZ:00000463
dbpedia:Bangladesh	GAZ:00003750
dbpedia:Barbados	GAZ:00001251
dbpedia:Benin	GAZ:00000904
dbpedia:Botswana	GAZ:00001097
dbpedia:Brazil	GAZ:00002828
dbpedia:Brunei	GAZ:00003901
dbpedia:Bulgaria	GAZ:00002950
dbpedia:Burkina_Faso	GAZ:00000905
dbpedia:Burundi	GAZ:00001090
dbpedia:Cambodia	GAZ:00006888
dbpedia:Cameroon	GAZ:00001093
dbpedia:Central_African_Republic	GAZ:00001089
dbpedia:Chad	GAZ:00000586
dbpedia:China	GAZ:00002845
dbpedia:Colombia	GAZ:00002929
dbpedia:Comoros	GAZ:00005820
dbpedia:Czech_Republic	GAZ:00002954
dbpedia:Democratic_Republic_of_the_Congo	GAZ:00001086
dbpedia:Djibouti	GAZ:00000582
dbpedia:Egypt	GAZ:00003934
dbpedia:Equatorial_Guinea	GAZ:00001091
dbpedia:Eritrea	GAZ:00000581
dbpedia:Estonia	GAZ:00002959
dbpedia:Eswatini	GAZ:00001099
dbpedia:Ethiopia	GAZ:00000567
dbpedia:Europe	GAZ:00000464
dbpedia:Finland	GAZ:00002937
dbpedia:France	GAZ:00002940
dbpedia:Gabon	GAZ:00001092
dbpedia:Ghana	GAZ:00000908
dbpedia:Greece	GAZ:00002945
dbpedia:Guinea	GAZ:00000909
dbpedia:Guinea_Bissau	GAZ:00000910
dbpedia:Hungary	GAZ:00002952
dbpedia:Iceland	GAZ:00000843
dbpedia:India	GAZ:00002839
dbpedia:Iran	GAZ:00004474
dbpedia:Iraq	GAZ:00004483
dbpedia:Israel	GAZ:00002476
dbpedia:Italy	GAZ:00002650
dbpedia:Ivory_Coast	GAZ:00000906
dbpedia:Japan	GAZ:00002747
dbpedia:Jordan	GAZ:00002473
dbpedia:Kenya	GAZ:00001101
dbpedia:Kyrgyzstan	GAZ:00006893
dbpedia:Lesotho	GAZ:00001098
dbpedia:Liberia	GAZ:00000911
dbpedia:Libya	GAZ:00000566
dbpedia:Malawi	GAZ:00001105
dbpedia:Mali	GAZ:00000584
dbpedia:Mauretania	GAZ:00000583
dbpedia:Mauritius	GAZ:00003745
dbpedia:Mexico	GAZ:00002852
dbpedia:Mongolia	GAZ:00008744
dbpedia:Morocco	GAZ:00000565
dbpedia:Mozambique	GAZ:00001100
dbpedia:Myanmar	GAZ:00006899
dbpedia:Namibia	GAZ:00001096
dbpedia:Nepal	GAZ:00004399
dbpedia:New_Zealand	GAZ:00000469
dbpedia:Niger	GAZ:00000585
dbpedia:Nigeria	GAZ:00000912
dbpedia:North_Korea	GAZ:00002801
dbpedia:Norway	GAZ:00002699
dbpedia:Pakistan	GAZ:00005246
dbpedia:Palestinian_territories	GAZ:00002475
dbpedia:Papua_New_Guinea	GAZ:00003922
dbpedia:Peru	GAZ:00002932
dbpedia:Philippines	GAZ:00004525
dbpedia:Poland	GAZ:00002939
dbpedia:Puerto_Rico	GAZ:00006935
dbpedia:Republic_of_Ireland	GAZ:00002943
dbpedia:Republic_of_the_Congo	GAZ:00001088
