Subject	Object
HGNC:10000	SO:0001217
HGNC:10001	SO:0001217
HGNC:10003	SO:0001217
HGNC:1001	SO:0001217
HGNC:10020	SO:0001217
HGNC:10024	SO:0001217
HGNC:10044	SO:0001217
HGNC:10045	SO:0001217
HGNC:10046	SO:0001217
HGNC:10047	SO:0001217
HGNC:10048	SO:0001217
HGNC:1004	SO:0001217
HGNC:10057	SO:0001217
HGNC:10064	SO:0001217
HGNC:10071	SO:0001217
HGNC:10073	SO:0001217
HGNC:10078	SO:0001217
HGNC:10249	SO:0001217
HGNC:10250	SO:0001217
HGNC:10252	SO:0001217
HGNC:10256	SO:0001217
HGNC:10257	SO:0001217
HGNC:10259	SO:0001217
HGNC:10260	SO:0001217
HGNC:10261	SO:0001217
HGNC:10288	SO:0001217
HGNC:10290	SO:0001217
HGNC:10293	SO:0001217
HGNC:10297	SO:0001217
HGNC:10301	SO:0001217
HGNC:10302	SO:0001217
HGNC:10333	SO:0001217
HGNC:1033	SO:0001217
HGNC:10349	SO:0001217
HGNC:1034	SO:0001217
HGNC:10360	SO:0001217
HGNC:10377	SO:0001217
HGNC:10378	SO:0001217
HGNC:1037	SO:0001217
HGNC:10381	SO:0001217
HGNC:10385	SO:0001217
HGNC:10387	SO:0001217
HGNC:10402	SO:0001217
HGNC:10405	SO:0001217
HGNC:10413	SO:0001217
HGNC:10417	SO:0001217
HGNC:10420	SO:0001217
HGNC:10421	SO:0001217
HGNC:10424	SO:0001217
HGNC:10426	SO:0001217
HGNC:10430	SO:0001217
HGNC:10432	SO:0001217
HGNC:10434	SO:0001217
HGNC:10435	SO:0001217
HGNC:10436	SO:0001217
HGNC:10437	SO:0001217
HGNC:1043	SO:0001217
HGNC:10440	SO:0001217
HGNC:10445	SO:0001217
HGNC:10446	SO:0001217
HGNC:10447	SO:0001217
HGNC:10448	SO:0001217
HGNC:1044	SO:0001217
HGNC:10451	SO:0001217
HGNC:10452	SO:0001217
HGNC:10457	SO:0001217
HGNC:10466	SO:0001217
HGNC:10467	SO:0001217
HGNC:10473	SO:0001217
HGNC:10474	SO:0001217
HGNC:10477	SO:0001217
HGNC:10480	SO:0001217
HGNC:10481	SO:0001217
HGNC:10487	SO:0001217
HGNC:10488	SO:0001217
HGNC:10489	SO:0001217
HGNC:1048	SO:0001217
HGNC:10490	SO:0001217
HGNC:10492	SO:0001217
HGNC:10493	SO:0001217
HGNC:10494	SO:0001217
HGNC:10495	SO:0001217
HGNC:10496	SO:0001217
HGNC:10497	SO:0001217
HGNC:10498	SO:0001217
HGNC:10499	SO:0001217
HGNC:1049	SO:0001217
HGNC:10500	SO:0001217
HGNC:10504	SO:0001217
HGNC:1050	SO:0001217
HGNC:10513	SO:0001217
HGNC:10514	SO:0001217
HGNC:10516	SO:0001217
HGNC:10521	SO:0001217
HGNC:10528	SO:0001217
HGNC:1052	SO:0001217
HGNC:10530	SO:0001217
HGNC:10532	SO:0001217
HGNC:10534	SO:0001217
HGNC:10535	SO:0001217
HGNC:10537	SO:0001217
HGNC:1053	SO:0001217
HGNC:10540	SO:0001217
HGNC:10541	SO:0001217
HGNC:10549	SO:0001217
HGNC:1054	SO:0001217
HGNC:10566	SO:0001217
HGNC:10569	SO:0001217
HGNC:10570	SO:0001217
HGNC:10575	SO:0001217
HGNC:10576	SO:0001217
HGNC:10577	SO:0001217
HGNC:1057	SO:0001217
HGNC:10589	SO:0001217
HGNC:10592	SO:0001217
HGNC:1059	SO:0001217
HGNC:10603	SO:0001217
HGNC:10604	SO:0001217
HGNC:10606	SO:0001217
HGNC:10607	SO:0001217
HGNC:10609	SO:0001217
HGNC:10610	SO:0001217
HGNC:10611	SO:0001217
HGNC:10612	SO:0001217
HGNC:10613	SO:0001217
HGNC:10614	SO:0001217
HGNC:10615	SO:0001217
HGNC:10616	SO:0001217
HGNC:10617	SO:0001217
HGNC:10618	SO:0001217
HGNC:10619	SO:0001217
HGNC:10620	SO:0001217
HGNC:10621	SO:0001217
HGNC:10622	SO:0001217
HGNC:10623	SO:0001217
HGNC:10624	SO:0001217
HGNC:10625	SO:0001217
HGNC:10626	SO:0001217
HGNC:10627	SO:0001217
HGNC:10628	SO:0001217
HGNC:1062	SO:0001217
HGNC:10630	SO:0001217
HGNC:10631	SO:0001217
HGNC:10632	SO:0001217
HGNC:10634	SO:0001217
HGNC:10635	SO:0001217
HGNC:10637	SO:0001217
HGNC:10638	SO:0001217
HGNC:10639	SO:0001217
HGNC:1063	SO:0001217
HGNC:10640	SO:0001217
HGNC:10642	SO:0001217
HGNC:10643	SO:0001217
HGNC:10645	SO:0001217
HGNC:10646	SO:0001217
HGNC:10647	SO:0001217
HGNC:10648	SO:0001217
HGNC:10660	SO:0001217
HGNC:10662	SO:0001217
HGNC:10666	SO:0001217
HGNC:1066	SO:0001217
HGNC:10672	SO:0001217
HGNC:10675	SO:0001217
HGNC:10676	SO:0001217
HGNC:1067	SO:0001217
HGNC:10681	SO:0001217
HGNC:1068	SO:0001217
HGNC:10697	SO:0001217
HGNC:1069	SO:0001217
HGNC:10707	SO:0001217
HGNC:1070	SO:0001217
HGNC:10710	SO:0001217
HGNC:10718	SO:0001217
HGNC:10719	SO:0001217
HGNC:1071	SO:0001217
HGNC:10720	SO:0001217
HGNC:10721	SO:0001217
HGNC:10722	SO:0001217
HGNC:10723	SO:0001217
HGNC:10724	SO:0001217
HGNC:10725	SO:0001217
HGNC:10727	SO:0001217
HGNC:10729	SO:0001217
HGNC:1072	SO:0001217
HGNC:10730	SO:0001217
HGNC:10731	SO:0001217
HGNC:10732	SO:0001217
HGNC:10734	SO:0001217
HGNC:10735	SO:0001217
HGNC:10736	SO:0001217
HGNC:10737	SO:0001217
HGNC:10738	SO:0001217
HGNC:10739	SO:0001217
HGNC:1073	SO:0001217
HGNC:10740	SO:0001217
HGNC:10741	SO:0001217
HGNC:10742	SO:0001217
HGNC:10743	SO:0001217
HGNC:1074	SO:0001217
HGNC:10750	SO:0001217
HGNC:10752	SO:0001217
HGNC:10755	SO:0001217
HGNC:10756	SO:0001217
HGNC:10757	SO:0001217
HGNC:1075	SO:0001217
HGNC:10760	SO:0001217
HGNC:10762	SO:0001217
HGNC:10763	SO:0001217
HGNC:1076	SO:0001217
HGNC:10771	SO:0001217
HGNC:10773	SO:0001217
HGNC:10776	SO:0001217
HGNC:10777	SO:0001217
HGNC:10778	SO:0001217
HGNC:10779	SO:0001217
HGNC:1077	SO:0001217
HGNC:10781	SO:0001217
HGNC:10788	SO:0001217
HGNC:10789	SO:0001217
HGNC:1078	SO:0001217
HGNC:1079	SO:0001217
HGNC:10801	SO:0001217
HGNC:10802	SO:0001217
HGNC:10803	SO:0001217
HGNC:10806	SO:0001217
HGNC:10810	SO:0001217
HGNC:10812	SO:0001217
HGNC:10816	SO:0001217
HGNC:10818	SO:0001217
HGNC:10819	SO:0001217
HGNC:10820	SO:0001217
HGNC:10825	SO:0001217
HGNC:10827	SO:0001217
HGNC:10831	SO:0001217
HGNC:10832	SO:0001217
HGNC:10833	SO:0001217
HGNC:10834	SO:0001217
HGNC:10839	SO:0001217
HGNC:10840	SO:0001217
HGNC:10848	SO:0001217
HGNC:1084	SO:0001217
HGNC:10850	SO:0001217
HGNC:10852	SO:0001217
HGNC:10853	SO:0001217
HGNC:10857	SO:0001217
HGNC:1085	SO:0001217
HGNC:10860	SO:0001217
HGNC:10861	SO:0001217
HGNC:10862	SO:0001217
HGNC:10863	SO:0001217
HGNC:10867	SO:0001217
HGNC:10869	SO:0001217
HGNC:10870	SO:0001217
HGNC:10871	SO:0001217
HGNC:10872	SO:0001217
HGNC:10874	SO:0001217
HGNC:10876	SO:0001217
HGNC:10877	SO:0001217
HGNC:10878	SO:0001217
HGNC:10880	SO:0001217
HGNC:10886	SO:0001217
HGNC:10892	SO:0001217
HGNC:10895	SO:0001217
HGNC:10897	SO:0001217
HGNC:10899	SO:0001217
HGNC:108	SO:0001217
HGNC:10901	SO:0001217
HGNC:10903	SO:0001217
HGNC:10904	SO:0001217
HGNC:10918	SO:0001217
HGNC:10919	SO:0001217
HGNC:10924	SO:0001217
HGNC:1092	SO:0001217
HGNC:1093	SO:0001217
HGNC:1094	SO:0001217
HGNC:1095	SO:0001217
HGNC:1096	SO:0001217
HGNC:1097	SO:0001217
HGNC:10988	SO:0001217
HGNC:10996	SO:0001217
HGNC:11014	SO:0001217
HGNC:11025	SO:0001217
HGNC:11026	SO:0001217
HGNC:1102	SO:0001217
HGNC:11034	SO:0001217
HGNC:1103	SO:0001217
HGNC:11040	SO:0001217
