Subject	Object	IRI	DiseaseLocation	Direct	Inherited
COB:0000022	organism	http://purl.obolibrary.org/obo/COB_0000022		0	111
COB:0000026	processed material entity	http://purl.obolibrary.org/obo/COB_0000026		0	0
ECTO:0000001	exposure to radiation	http://purl.obolibrary.org/obo/ECTO_0000001		0	0
ECTO:0000006	exposure to ultraviolet radiation	http://purl.obolibrary.org/obo/ECTO_0000006		0	0
ECTO:0000530	exposure to pesticide	http://purl.obolibrary.org/obo/ECTO_0000530		0	0
ECTO:0000724	exposure to genotoxin	http://purl.obolibrary.org/obo/ECTO_0000724		0	0
ECTO:0000726	exposure to allergen	http://purl.obolibrary.org/obo/ECTO_0000726		0	0
ECTO:0070164	exposure to fish oil supplement via ingestion	http://purl.obolibrary.org/obo/ECTO_0070164		0	0
ECTO:1000034	exposure to farm	http://purl.obolibrary.org/obo/ECTO_1000034		0	0
ECTO:6000029	exposure to tobacco smoking	http://purl.obolibrary.org/obo/ECTO_6000029		0	0
ECTO:8000036	exposure to air pollution	http://purl.obolibrary.org/obo/ECTO_8000036		0	0
ECTO:9000026	exposure to alcohol	http://purl.obolibrary.org/obo/ECTO_9000026		0	0
ECTO:9000033	exposure to asbestos	http://purl.obolibrary.org/obo/ECTO_9000033		0	0
ECTO:9000057	exposure to bisphenol A	http://purl.obolibrary.org/obo/ECTO_9000057		0	0
ECTO:9000078	exposure to triclosan	http://purl.obolibrary.org/obo/ECTO_9000078		0	0
ECTO:9000097	exposure to radon	http://purl.obolibrary.org/obo/ECTO_9000097		0	0
EFO:0000001	experimental factor	http://www.ebi.ac.uk/efo/EFO_0000001		0	88987
EFO:0000002	CS57511	http://www.ebi.ac.uk/efo/EFO_0000002		0	0
EFO:0000003	CS57512	http://www.ebi.ac.uk/efo/EFO_0000003		0	0
EFO:0000004	CS57515	http://www.ebi.ac.uk/efo/EFO_0000004		0	0
EFO:0000005	CS57520	http://www.ebi.ac.uk/efo/EFO_0000005		0	0
EFO:0000006	CS57521	http://www.ebi.ac.uk/efo/EFO_0000006		0	0
EFO:0000007	CS57537	http://www.ebi.ac.uk/efo/EFO_0000007		0	0
EFO:0000008	CS57541	http://www.ebi.ac.uk/efo/EFO_0000008		0	0
EFO:0000009	CS57543	http://www.ebi.ac.uk/efo/EFO_0000009		0	0
EFO:0000010	CS57544	http://www.ebi.ac.uk/efo/EFO_0000010		0	0
EFO:0000011	CS57548	http://www.ebi.ac.uk/efo/EFO_0000011		0	0
EFO:0000012	CS57549	http://www.ebi.ac.uk/efo/EFO_0000012		0	0
EFO:0000013	CS57551	http://www.ebi.ac.uk/efo/EFO_0000013		0	0
EFO:0000014	CS57556	http://www.ebi.ac.uk/efo/EFO_0000014		0	0
EFO:0000015	CS57560	http://www.ebi.ac.uk/efo/EFO_0000015		1	0
EFO:0000016	CS57563	http://www.ebi.ac.uk/efo/EFO_0000016		0	0
EFO:0000017	CS57569	http://www.ebi.ac.uk/efo/EFO_0000017		0	0
EFO:0000018	CS57570	http://www.ebi.ac.uk/efo/EFO_0000018		0	0
EFO:0000019	CS57572	http://www.ebi.ac.uk/efo/EFO_0000019		0	0
EFO:0000020	CS57580	http://www.ebi.ac.uk/efo/EFO_0000020		0	0
EFO:0000021	CS57581	http://www.ebi.ac.uk/efo/EFO_0000021		0	0
EFO:0000022	CS57583	http://www.ebi.ac.uk/efo/EFO_0000022		0	0
EFO:0000023	CS57586	http://www.ebi.ac.uk/efo/EFO_0000023		1	0
EFO:0000024	CS57587	http://www.ebi.ac.uk/efo/EFO_0000024		0	0
EFO:0000025	CS57591	http://www.ebi.ac.uk/efo/EFO_0000025		0	0
EFO:0000026	CS57595	http://www.ebi.ac.uk/efo/EFO_0000026		0	0
EFO:0000027	CS57596	http://www.ebi.ac.uk/efo/EFO_0000027		0	0
EFO:0000028	CS57598	http://www.ebi.ac.uk/efo/EFO_0000028		0	0
EFO:0000029	CS57601	http://www.ebi.ac.uk/efo/EFO_0000029		0	0
EFO:0000030	CS57603	http://www.ebi.ac.uk/efo/EFO_0000030		0	0
EFO:0000031	CS57606	http://www.ebi.ac.uk/efo/EFO_0000031		0	0
EFO:0000032	CS57610	http://www.ebi.ac.uk/efo/EFO_0000032		0	0
EFO:0000033	CS57615	http://www.ebi.ac.uk/efo/EFO_0000033		0	0
EFO:0000034	CS57616	http://www.ebi.ac.uk/efo/EFO_0000034		1	0
EFO:0000035	CS57618	http://www.ebi.ac.uk/efo/EFO_0000035		0	0
EFO:0000036	CS57619	http://www.ebi.ac.uk/efo/EFO_0000036		0	0
EFO:0000037	CS57620	http://www.ebi.ac.uk/efo/EFO_0000037		0	0
