IRI	Direct	Inherited
http://purl.obolibrary.org/obo/NCIT_C25464	0	0
http://www.ebi.ac.uk/efo/EFO_0000001	0	88987
http://purl.obolibrary.org/obo/MONDO_0000001	57	22904
http://www.ebi.ac.uk/efo/EFO_0000635	2	188
http://purl.obolibrary.org/obo/AfPO_0000145	0	0
http://purl.obolibrary.org/obo/AfPO_0000231	0	0
http://purl.obolibrary.org/obo/AfPO_0000359	0	0
http://purl.obolibrary.org/obo/AfPO_0000366	0	0
http://purl.obolibrary.org/obo/AfPO_0000367	0	0
http://purl.obolibrary.org/obo/AfPO_0000368	0	0
http://purl.obolibrary.org/obo/AfPO_0000102	0	0
http://purl.obolibrary.org/obo/AfPO_0000123	0	0
http://purl.obolibrary.org/obo/AfPO_0000263	0	0
http://purl.obolibrary.org/obo/AfPO_0000281	0	0
http://purl.obolibrary.org/obo/AfPO_0000291	0	0
http://purl.obolibrary.org/obo/AfPO_0000294	0	0
http://purl.obolibrary.org/obo/AfPO_0000297	0	0
http://purl.obolibrary.org/obo/AfPO_0000300	0	0
http://purl.obolibrary.org/obo/AfPO_0000301	0	0
http://purl.obolibrary.org/obo/AfPO_0000336	0	0
http://purl.obolibrary.org/obo/AfPO_0000341	0	0
http://purl.obolibrary.org/obo/AfPO_0000473	0	0
http://purl.obolibrary.org/obo/AfPO_0000518	0	0
http://purl.obolibrary.org/obo/AfPO_0000527	0	0
http://purl.obolibrary.org/obo/AfPO_0000104	0	0
http://purl.obolibrary.org/obo/AfPO_0000105	0	0
http://purl.obolibrary.org/obo/AfPO_0000125	0	0
http://purl.obolibrary.org/obo/AfPO_0000421	0	0
http://purl.obolibrary.org/obo/AfPO_0000422	0	0
http://purl.obolibrary.org/obo/AfPO_0000429	0	0
http://purl.obolibrary.org/obo/AfPO_0000430	0	0
http://purl.obolibrary.org/obo/AfPO_0000434	0	0
http://purl.obolibrary.org/obo/AfPO_0000435	0	0
http://purl.obolibrary.org/obo/AfPO_0000521	0	0
http://purl.obolibrary.org/obo/AfPO_0000531	0	0
http://purl.obolibrary.org/obo/AfPO_0000535	0	0
http://purl.obolibrary.org/obo/AfPO_0000544	0	0
http://purl.obolibrary.org/obo/AfPO_0000060	0	0
http://purl.obolibrary.org/obo/AfPO_0000140	0	0
http://purl.obolibrary.org/obo/AfPO_0000334	0	0
http://purl.obolibrary.org/obo/AfPO_0000335	0	0
http://purl.obolibrary.org/obo/AfPO_0000346	0	0
http://purl.obolibrary.org/obo/AfPO_0000347	0	0
http://purl.obolibrary.org/obo/AfPO_0000348	0	0
http://purl.obolibrary.org/obo/AfPO_0000354	0	0
http://purl.obolibrary.org/obo/AfPO_0000438	0	0
http://purl.obolibrary.org/obo/AfPO_0000517	0	0
http://purl.obolibrary.org/obo/AfPO_0000573	0	0
http://purl.obolibrary.org/obo/AfPO_0000131	0	0
http://purl.obolibrary.org/obo/AfPO_0000141	0	0
http://purl.obolibrary.org/obo/AfPO_0000148	0	0
http://purl.obolibrary.org/obo/AfPO_0000153	0	0
http://purl.obolibrary.org/obo/AfPO_0000161	0	0
http://purl.obolibrary.org/obo/AfPO_0000179	0	0
http://purl.obolibrary.org/obo/AfPO_0000201	0	0
http://purl.obolibrary.org/obo/AfPO_0000416	0	0
http://purl.obolibrary.org/obo/AfPO_0000426	0	0
http://purl.obolibrary.org/obo/AfPO_0000433	0	0
http://purl.obolibrary.org/obo/AfPO_0000537	0	0
http://purl.obolibrary.org/obo/AfPO_0000538	0	0
http://purl.obolibrary.org/obo/AfPO_0000539	0	0
http://purl.obolibrary.org/obo/AfPO_0000540	0	0
http://purl.obolibrary.org/obo/AfPO_0000564	0	0
http://purl.obolibrary.org/obo/AfPO_0000287	0	0
http://purl.obolibrary.org/obo/AfPO_0000437	0	0
http://purl.obolibrary.org/obo/AfPO_0000058	0	0
http://purl.obolibrary.org/obo/AfPO_0000067	0	0
http://purl.obolibrary.org/obo/AfPO_0000084	0	0
http://purl.obolibrary.org/obo/AfPO_0000128	0	0
http://purl.obolibrary.org/obo/AfPO_0000278	0	0
http://purl.obolibrary.org/obo/AfPO_0000279	0	0
http://purl.obolibrary.org/obo/AfPO_0000280	0	0
http://purl.obolibrary.org/obo/AfPO_0000283	0	0
http://purl.obolibrary.org/obo/AfPO_0000295	0	0
http://purl.obolibrary.org/obo/AfPO_0000298	0	0
