Subject	Object
BFO:0000050	part of
dbpedia:Brunei	Brunei Darussalam
dbpedia:Iran	Iran (Islamic Republic of)
dbpedia:Ivory_Coast	Ivory Coast
dbpedia:Libya	Libyan Arab Jamahiriya
dbpedia:Mauretania	Mauretania
dbpedia:Myanmar	Burma
dbpedia:North_Korea	Democratic People's Republic of Korea
dbpedia:Palestinian_territories	Occupied Palestinian Territory
dbpedia:Republic_of_Ireland	Ireland
dbpedia:Republic_of_the_Congo	Congo
dbpedia:Russia	Russian Federation
dbpedia:South_Korea	Republic of Korea
dbpedia:Tanzania	United Republic of Tanzania
dbpedia:The_Gambia	Gambia
dbpedia:United_Kingdom	U.K.
dbpedia:United_States	United States of America
dbpedia:United_States	U.S.
obo:AfPO_0000131	Mõõré
obo:AfPO_0000131	Mòoré
obo:AfPO_0000131	Moshi
obo:AfPO_0000131	Moré
obo:AfPO_0000131	More
obo:AfPO_0000131	Mooré
obo:AfPO_0000131	Moore
obo:AfPO_0000307	Umbararo
obo:AfPO_0000307	Tudaga
obo:AfPO_0000307	Tuda
obo:AfPO_0000307	Tubu
obo:AfPO_0000307	Todga
obo:AfPO_0000307	Todaga
obo:AfPO_0000307	Toda
obo:AfPO_0000307	Tibu
obo:AfPO_0000307	Tibbu
obo:AfPO_0000307	Tebu
obo:AfPO_0000307	Tebou
obo:AfPO_0000307	Tabu
obo:AfPO_0000419	Ekid
BFO:0000020	specifically dependent continuant
BFO:0000020	SpecificallyDependentContinuant
BFO:0000040	material type
BTO:0000383	renal cell adenocarcinoma cell line
BTO:0000383	kidney adenocarcinoma cell line
BTO:0000383	hypernephroma cell line
BTO:0000383	RCC cell line
BTO:0000551	lung carcinoma cell
BTO:0001948	TIB-152
BTO:0001948	Jurkat cell E6.1
BTO:0001948	Jurkat cell E-6.1
BTO:0001948	Jurkat E6.1
BTO:0002178	human mammary epithelial cell
BTO:0002178	HMEC cell
BTO:0002179	A1N4 cell
BTO:0002842	extrahepatic bile duct carcinoma cell
BTO:0002842	cholangiocellular carcinoma cell
BTO:0002842	bile duct carcinoma cell
BTO:0002844	invasive ductal carcinoma cell
BTO:0002844	breast infiltrating ductal carcinoma cell
BTO:0002844	IDC cell
BTO:0004263	COM3 cell
BTO:0004264	INC2 cell
BTO:0004298	corneal endothelial cell
CHEBI:10023	(2R,3S)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol
CHEBI:100241	1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid
CHEBI:100246	1-ethyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid
CHEBI:10033	rac-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one
CHEBI:10072	4,8-dihydroxyquinoline-2-carboxylic acid
CHEBI:10112	1-[1-(1-benzothien-2-yl)ethyl]-1-hydroxyurea
CHEBI:10127	1-(1,2-benzisoxazol-3-yl)methanesulfonamide
CHEBI:101278	(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate
CHEBI:11009	(2R)-2-hydroxy-3-phenylpropanoate
CHEBI:114785	N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine
CHEBI:1148	2-hydroxybutanoic acid
CHEBI:11596	2-hydroxypentanedioate
CHEBI:116314	(9Z)-octadec-9-enamide
CHEBI:11805	3-hydroxy-2-methylpropanoate
CHEBI:11851	3-methyl-2-oxobutanoate
CHEBI:11892	3-(carbamoylamino)propanoate
CHEBI:119486	(4S)-6-chloro-4-(cyclopropylethynyl)-4-(trifluoromethyl)-1,4-dihydro-2H-3,1-benzoxazin-2-one
CHEBI:11951	4-acetamidobutanoate
CHEBI:1224	2-nitro-9H-fluorene
CHEBI:124991	7beta-(thiophen-2-ylacetamido)-3-acetoxymethyl-3,4-didehydrocepham-4-carboxylic acid
CHEBI:124991	(6R,7R)-3-(acetoxymethyl)-8-oxo-7-(thiophen-2-ylacetamido)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
CHEBI:131444	carbamimidamidoacetate
CHEBI:132028	2-[(3alpha,7beta-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate
CHEBI:132030	N-(3alpha,7beta-dihydroxy-5beta-cholan-24-oyl)glycinate
CHEBI:132188	2-amino-4-(methanesulfonyl)butanoic acid
CHEBI:132479	2-(octadecanoylamino)ethane-1-sulfonic acid
CHEBI:132923	(2-hydroxybenzamido)acetate
CHEBI:132991	5-oxo-L-prolyl-L-valine
CHEBI:133087	octadecanedioate
CHEBI:133119	(20S)-5alpha-pregnane-3beta,20-diyl bis(hydrogen sulfate)
CHEBI:133199	3-[4-(1-carboxyethyl)phenyl]-2-methylpropanoic acid
CHEBI:133460	2-methoxyphenyl hydrogen sulfate
CHEBI:133469	3-aminopiperidine-2,6-dione
CHEBI:133511	3-hydroxyoctanoate
CHEBI:133514	2-hydroxyoctanoate
CHEBI:133570	2-methoxy-4-(prop-2-en-1-yl)phenyl hydrogen sulfate
CHEBI:133607	(3-hydroxybenzamido)acetate
CHEBI:133613	(4-hydroxybenzamido)acetate
CHEBI:133661	3alpha,6alpha,7alpha-trihydroxy-5beta-cholan-24-oate
CHEBI:133686	5-bromotryptophan
CHEBI:133693	N,N,N-trimethyl-2-{[(9Z)-octadec-9-enoyl]oxy}ethan-1-aminium
CHEBI:133706	propyl 4-(sulfooxy)benzoate
CHEBI:133738	2-hydroxyhexanoate
CHEBI:133751	3-(4-hydroxy-3-methoxyphenyl)propanoate
