# Timestamp: 2024-02-06 16:14:40.811080
# Target Ontology: http://www.ebi.ac.uk/efo/releases/v3.62.0/efo.owl
# text2term version: 4.1.3
# Minimum Score: 0.60
# Mapper: tfidf
# Base IRIs: "('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')"
# Max Mappings: 1
# Term Type: OntologyTermType.CLASS
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 89981 entries, 46026 were mapped to 8252 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
GCST004695,Insomnia complaints,insomnia,EFO:0004698,http://www.ebi.ac.uk/efo/EFO_0004698,0.716
GCST004694,Sleep duration,sleep duration,EFO:0005271,http://www.ebi.ac.uk/efo/EFO_0005271,0.997
GCST004700,Insomnia complaints (sex interaction),insomnia,EFO:0004698,http://www.ebi.ac.uk/efo/EFO_0004698,0.61
GCST004696,Chronotype,chronotype measurement,EFO:0008328,http://www.ebi.ac.uk/efo/EFO_0008328,0.81
GCST004697,Ease of getting up in the morning,"ease of getting up in the morning, self-reported",EFO:0009817,http://www.ebi.ac.uk/efo/EFO_0009817,0.661
GCST004693,Daytime nap,daytime rest measurement,EFO:0007828,http://www.ebi.ac.uk/efo/EFO_0007828,0.642
GCST004698,Snoring,Snoring,HP:0025267,http://purl.obolibrary.org/obo/HP_0025267,0.992
GCST004699,Daytime sleepiness,excessive daytime sleepiness measurement,EFO:0007875,http://www.ebi.ac.uk/efo/EFO_0007875,0.799
GCST006487,Insomnia complaints,insomnia,EFO:0004698,http://www.ebi.ac.uk/efo/EFO_0004698,0.716
GCST004715,Heart rate,heart rate,EFO:0004326,http://www.ebi.ac.uk/efo/EFO_0004326,0.994
GCST004716,Heart rate variability traits (RMSSD),root mean square of the successive differences of inter beat intervals,EFO:0009257,http://www.ebi.ac.uk/efo/EFO_0009257,0.678
GCST004714,Heart rate variability traits (SDNN),standard deviation of the normal-to-normal inter beat intervals,EFO:0009256,http://www.ebi.ac.uk/efo/EFO_0009256,0.641
GCST004748,Lung cancer,lung cancer,MONDO:0008903,http://purl.obolibrary.org/obo/MONDO_0008903,0.996
GCST004744,Lung adenocarcinoma,lung adenocarcinoma,EFO:0000571,http://www.ebi.ac.uk/efo/EFO_0000571,0.988
GCST004750,Squamous cell lung carcinoma,squamous cell lung carcinoma,EFO:0000708,http://www.ebi.ac.uk/efo/EFO_0000708,0.991
GCST004746,Small cell lung carcinoma,small cell lung carcinoma,EFO:0000702,http://www.ebi.ac.uk/efo/EFO_0000702,0.985
GCST004749,Lung cancer in ever smokers,lung cancer,MONDO:0008903,http://purl.obolibrary.org/obo/MONDO_0008903,0.677
GCST004747,Lung cancer in never smokers,lung cancer,MONDO:0008903,http://purl.obolibrary.org/obo/MONDO_0008903,0.661
GCST003578,Nasopharyngeal carcinoma,carcinoma of pharynx,MONDO:0021345,http://purl.obolibrary.org/obo/MONDO_0021345,0.841
GCST004641,Borderline personality disorder,Borderline personality disorder,HP:0012076,http://purl.obolibrary.org/obo/HP_0012076,0.984
GCST004375,Resistance to antipsychotic treatment in schizophrenia,treatment refractory schizophrenia,EFO:0004609,http://www.ebi.ac.uk/efo/EFO_0004609,0.756
GCST004374,Resistance to antipsychotic treatment in schizophrenia (childhood trauma interaction),treatment refractory schizophrenia,EFO:0004609,http://www.ebi.ac.uk/efo/EFO_0004609,0.635
GCST004585,Anorexia nervosa (excluding migration to or from binge-eating disorder or bulimia nervosa),anorexia nervosa,MONDO:0005351,http://purl.obolibrary.org/obo/MONDO_0005351,0.747
GCST005079,Orofacial clefts (cleft lip vs. cleft lip and palate),cleft lip,EFO:0003959,http://www.ebi.ac.uk/efo/EFO_0003959,0.843
GCST004978,Cow's milk allergy,milk allergy measurement,EFO:0007019,http://www.ebi.ac.uk/efo/EFO_0007019,0.741
