Subject	Object
IAO:0000112	IAO:0000112
IAO:0000116	IAO:0000116
IAO:0000232	IAO:0000232
IAO:0000233	IAO:0000233
IAO:0000700	IAO:0000700
IAO:0006012	IAO:0006012
RO:0002161	RO:0002161
RO:0002171	RO:0002171
RO:0002173	RO:0002173
RO:0002174	RO:0002174
RO:0002175	RO:0002175
RO:0002475	RO:0002475
obo:UBPROP_0000001	UBPROP:0000001
obo:UBPROP_0000002	UBPROP:0000002
obo:UBPROP_0000003	UBPROP:0000003
obo:UBPROP_0000004	UBPROP:0000004
obo:UBPROP_0000005	UBPROP:0000005
obo:UBPROP_0000006	UBPROP:0000006
obo:UBPROP_0000007	UBPROP:0000007
obo:UBPROP_0000008	UBPROP:0000008
obo:UBPROP_0000009	UBPROP:0000009
obo:UBPROP_0000010	UBPROP:0000010
obo:UBPROP_0000011	UBPROP:0000011
obo:UBPROP_0000012	UBPROP:0000012
obo:UBPROP_0000013	UBPROP:0000013
obo:UBPROP_0000014	UBPROP:0000014
obo:UBPROP_0000015	UBPROP:0000015
obo:UBPROP_0000100	UBPROP:0000100
obo:UBPROP_0000101	UBPROP:0000101
obo:UBPROP_0000102	UBPROP:0000102
obo:UBPROP_0000103	UBPROP:0000103
obo:UBPROP_0000104	UBPROP:0000104
obo:UBPROP_0000105	UBPROP:0000105
obo:UBPROP_0000106	UBPROP:0000106
obo:UBPROP_0000107	UBPROP:0000107
obo:UBPROP_0000108	UBPROP:0000108
obo:UBPROP_0000109	UBPROP:0000109
obo:UBPROP_0000110	UBPROP:0000110
obo:UBPROP_0000111	UBPROP:0000111
obo:UBPROP_0000112	UBPROP:0000112
obo:UBPROP_0000113	UBPROP:0000113
obo:UBPROP_0000201	UBPROP:0000201
obo:UBPROP_0000202	UBPROP:0000202
dce:creator	http://purl.org/dc/elements/1.1/creator
dce:description	http://purl.org/dc/elements/1.1/description
dce:publisher	http://purl.org/dc/elements/1.1/publisher
dce:source	http://purl.org/dc/elements/1.1/source
dce:title	http://purl.org/dc/elements/1.1/title
dcterms:contributor	http://purl.org/dc/terms/contributor
dcterms:date	http://purl.org/dc/terms/date
dcterms:isReferencedBy	http://purl.org/dc/terms/isReferencedBy
dcterms:license	http://purl.org/dc/terms/license
doap:GitRepository	http://usefulinc.com/ns/doap#GitRepository
doap:SVNRepository	http://usefulinc.com/ns/doap#SVNRepository
doap:bug-database	http://usefulinc.com/ns/doap#bug-database
doap:mailing-list	http://usefulinc.com/ns/doap#mailing-list
doap:wiki	http://usefulinc.com/ns/doap#wiki
rdfs:seeAlso	http://www.w3.org/2000/01/rdf-schema#seeAlso
foaf:depiction	http://xmlns.com/foaf/0.1/depiction
foaf:homepage	http://xmlns.com/foaf/0.1/homepage
foaf:page	http://xmlns.com/foaf/0.1/page
BFO:0000050	BFO:0000050
BFO:0000051	BFO:0000051
BFO:0000062	BFO:0000062
BFO:0000063	BFO:0000063
BFO:0000067	BFO:0000067
BSPO:0000096	BSPO:0000096
BSPO:0000097	BSPO:0000097
BSPO:0000098	BSPO:0000098
BSPO:0000099	BSPO:0000099
BSPO:0000100	NCIT:C25236
BSPO:0000100	BSPO:0000100
BSPO:0000102	BSPO:0000102
BSPO:0000104	BSPO:0000104
BSPO:0000107	BSPO:0000107
BSPO:0000108	BSPO:0000108
BSPO:0000110	BSPO:0000110
BSPO:0000111	BSPO:0000111
BSPO:0000120	NCIT:C25229
BSPO:0000120	BSPO:0000120
BSPO:0000121	NCIT:C25228
BSPO:0000121	BSPO:0000121
BSPO:0000122	BSPO:0000122
BSPO:0000123	BSPO:0000123
BSPO:0000124	BSPO:0000124
BSPO:0000125	BSPO:0000125
BSPO:0000126	BSPO:0000126
BSPO:0001100	BSPO:0001100
BSPO:0001101	BSPO:0001101
BSPO:0001106	BSPO:0001106
BSPO:0001107	BSPO:0001107
BSPO:0001108	BSPO:0001108
BSPO:0001113	BSPO:0001113
BSPO:0001115	BSPO:0001115
BSPO:0005001	BSPO:0005001
BSPO:0015001	BSPO:0015001
BSPO:0015005	BSPO:0015005
BSPO:0015006	BSPO:0015006
BSPO:0015007	BSPO:0015007
BSPO:0015009	BSPO:0015009
BSPO:0015012	BSPO:0015012
BSPO:0015014	BSPO:0015014
BSPO:0015101	BSPO:0015101
BSPO:0015102	BSPO:0015102
BSPO:0015202	BSPO:0015202
BSPO:0020001	BSPO:0020001
BSPO:1000000	BSPO:1000000
obo:GOREL_0002003	GOREL:0002003
obo:GOREL_0002004	GOREL:0002004
RO:0000056	RO:0000056
RO:0000086	RO:0000086
RO:0001015	RO:0001015
RO:0001019	RO:0001019
RO:0001025	RO:0001025
RO:0002002	RO:0002002
RO:0002005	RO:0002005
RO:0002007	RO:0002007
RO:0002082	RO:0002082
RO:0002087	RO:0002087
RO:0002103	RO:0002103
RO:0002131	RO:0002131
RO:0002134	RO:0002134
RO:0002150	RO:0002150
RO:0002158	RO:0002158
RO:0002159	RO:0002159
RO:0002162	RO:0002162
RO:0002170	RO:0002170
RO:0002176	RO:0002176
RO:0002177	RO:0002177
RO:0002178	RO:0002178
RO:0002179	RO:0002179
RO:0002180	RO:0002180
RO:0002202	RO:0002202
RO:0002203	RO:0002203
RO:0002207	RO:0002207
RO:0002215	RO:0002215
RO:0002216	RO:0002216
RO:0002219	RO:0002219
RO:0002220	RO:0002220
RO:0002221	RO:0002221
RO:0002223	RO:0002223
RO:0002224	RO:0002224
RO:0002225	RO:0002225
RO:0002226	RO:0002226
RO:0002229	RO:0002229
RO:0002230	RO:0002230
RO:0002252	RO:0002252
RO:0002254	RO:0002254
RO:0002256	RO:0002256
RO:0002285	RO:0002285
RO:0002322	RO:0002322
RO:0002328	RO:0002328
RO:0002351	RO:0002351
RO:0002352	RO:0002352
RO:0002353	RO:0002353
RO:0002371	RO:0002371
RO:0002372	RO:0002372
RO:0002373	RO:0002373
RO:0002374	RO:0002374
RO:0002376	RO:0002376
RO:0002380	RO:0002380
RO:0002385	RO:0002385
RO:0002387	RO:0002387
RO:0002433	RO:0002433
RO:0002473	RO:0002473
RO:0002488	RO:0002488
RO:0002489	RO:0002489
RO:0002491	RO:0002491
RO:0002492	RO:0002492
RO:0002493	RO:0002493
RO:0002494	RO:0002494
RO:0002495	RO:0002495
RO:0002496	RO:0002496
RO:0002497	RO:0002497
RO:0002551	RO:0002551
RO:0002568	RO:0002568
RO:0002569	RO:0002569
RO:0002570	RO:0002570
