Subject	Object
BFO:0000002	BFO:0000001
BFO:0000003	BFO:0000001
BFO:0000004	BFO:0000002
BFO:0000006	BFO:0000141
BFO:0000015	BFO:0000003
BFO:0000016	BFO:0000017
BFO:0000017	BFO:0000020
BFO:0000017	COB:0000502
BFO:0000019	BFO:0000020
BFO:0000020	BFO:0000002
BFO:0000023	BFO:0000017
BFO:0000031	BFO:0000002
BFO:0000034	BFO:0000016
BFO:0000040	BFO:0000004
BFO:0000141	BFO:0000004
BSPO:0000000	BSPO:0000054
BSPO:0000007	BSPO:0000054
BSPO:0000010	CARO:0000008
BSPO:0000013	BSPO:0000010
BSPO:0000016	BSPO:0000010
BSPO:0000017	BSPO:0000010
BSPO:0000018	BSPO:0000400
BSPO:0000019	BSPO:0000400
BSPO:0000054	BSPO:0000070
BSPO:0000070	CARO:0000003
BSPO:0000400	CARO:0000010
BSPO:0000417	BSPO:0000010
BSPO:0000417	BSPO:0000400
CARO:0000003	CARO:0000006
CARO:0000006	CARO:0000000
CARO:0000007	CARO:0000000
CARO:0000008	CARO:0000007
CARO:0000010	CARO:0000007
CHEBI:10545	CHEBI:36338
CHEBI:131565	CHEBI:17478
CHEBI:131565	CHEBI:35341
CHEBI:131604	CHEBI:76969
CHEBI:131621	CHEBI:35341
CHEBI:131927	CHEBI:36586
CHEBI:132153	CHEBI:61469
CHEBI:132153	CHEBI:63551
CHEBI:133294	CHEBI:28965
CHEBI:133294	CHEBI:35903
CHEBI:134179	CHEBI:72695
CHEBI:136849	CHEBI:33247
CHEBI:136889	CHEBI:35341
CHEBI:138103	CHEBI:39141
CHEBI:138366	CHEBI:25384
CHEBI:138366	CHEBI:35350
CHEBI:138366	CHEBI:36078
CHEBI:13850	BFO:0000004
CHEBI:13850	CHEBI:38560
CHEBI:138675	CHEBI:33579
CHEBI:139120	CHEBI:23044
CHEBI:13941	CHEBI:37022
CHEBI:139588	CHEBI:17087
CHEBI:139588	CHEBI:33822
CHEBI:139590	CHEBI:139588
CHEBI:139590	CHEBI:15734
CHEBI:140325	CHEBI:37622
CHEBI:140601	CHEBI:26666
CHEBI:141668	CHEBI:65296
CHEBI:142163	BFO:0000004
CHEBI:142163	CHEBI:24433
CHEBI:142355	CHEBI:26399
CHEBI:14321	BFO:0000004
CHEBI:14321	CHEBI:33558
CHEBI:15339	CHEBI:51086
CHEBI:15354	BFO:0000004
CHEBI:15354	CHEBI:23217
CHEBI:15355	BFO:0000004
CHEBI:15355	CHEBI:35287
CHEBI:15355	CHEBI:47622
CHEBI:15366	CHEBI:25384
CHEBI:15377	BFO:0000004
CHEBI:15377	CHEBI:33693
CHEBI:15377	CHEBI:37176
CHEBI:15377	CHEBI:52625
CHEBI:15378	CHEBI:25414
CHEBI:15378	CHEBI:33251
CHEBI:15378	CHEBI:33252
CHEBI:15378	CHEBI:60242
CHEBI:15379	BFO:0000004
CHEBI:15379	CHEBI:138675
CHEBI:15379	CHEBI:25362
CHEBI:15379	CHEBI:33263
CHEBI:15422	CHEBI:37045
CHEBI:15422	CHEBI:37096
CHEBI:15440	BFO:0000004
CHEBI:15440	CHEBI:35191
CHEBI:15693	CHEBI:35381
CHEBI:15705	CHEBI:33704
CHEBI:15734	CHEBI:30879
CHEBI:15740	BFO:0000004
CHEBI:15740	CHEBI:35757
CHEBI:15841	CHEBI:16670
CHEBI:15841	CHEBI:33839
CHEBI:15966	CHEBI:16733
CHEBI:15966	CHEBI:18237
CHEBI:15986	CHEBI:33695
CHEBI:15986	CHEBI:61120
CHEBI:16015	CHEBI:18237
CHEBI:16015	CHEBI:24318
CHEBI:16134	BFO:0000004
CHEBI:16134	CHEBI:138675
CHEBI:16134	CHEBI:35107
CHEBI:16134	CHEBI:37176
CHEBI:16137	BFO:0000004
CHEBI:16137	CHEBI:37395
CHEBI:16189	BFO:0000004
CHEBI:16189	CHEBI:33482
CHEBI:16189	CHEBI:48154
CHEBI:16189	CHEBI:79388
CHEBI:16234	BFO:0000004
CHEBI:16234	CHEBI:33693
CHEBI:16247	CHEBI:18059
CHEBI:16247	CHEBI:25703
CHEBI:16247	CHEBI:37734
CHEBI:16335	BFO:0000004
CHEBI:16335	CHEBI:142355
CHEBI:16335	CHEBI:22260
CHEBI:16336	BFO:0000004
CHEBI:16336	CHEBI:37395
CHEBI:16336	CHEBI:72813
CHEBI:16526	BFO:0000004
CHEBI:16526	CHEBI:138675
CHEBI:16526	CHEBI:23014
CHEBI:16526	CHEBI:64708
CHEBI:16541	CHEBI:15841
CHEBI:16646	CHEBI:78616
CHEBI:16666	CHEBI:36145
CHEBI:16670	CHEBI:37622
CHEBI:16670	CHEBI:50047
CHEBI:166902	CHEBI:25697
CHEBI:166902	CHEBI:35274
CHEBI:16701	CHEBI:29075
CHEBI:16708	BFO:0000004
CHEBI:16708	CHEBI:20706
CHEBI:16708	CHEBI:26386
CHEBI:16716	BFO:0000004
CHEBI:16716	CHEBI:134179
CHEBI:16716	CHEBI:22712
CHEBI:16716	CHEBI:33842
CHEBI:167164	BFO:0000004
CHEBI:167164	CHEBI:46662
CHEBI:16733	CHEBI:83925
CHEBI:167559	CHEBI:78616
CHEBI:16761	CHEBI:37038
CHEBI:16761	CHEBI:37096
CHEBI:16765	CHEBI:27162
CHEBI:16765	CHEBI:38631
CHEBI:16765	CHEBI:38958
CHEBI:16765	CHEBI:64365
CHEBI:16796	BFO:0000004
CHEBI:16796	CHEBI:22160
CHEBI:16796	CHEBI:27162
CHEBI:16862	BFO:0000004
CHEBI:16862	CHEBI:25608
CHEBI:16865	CHEBI:25384
CHEBI:16865	CHEBI:33707
CHEBI:16988	BFO:0000004
CHEBI:16988	CHEBI:33942
CHEBI:16990	CHEBI:35692
CHEBI:16990	CHEBI:36735
CHEBI:16991	BFO:0000004
CHEBI:16991	CHEBI:33696
CHEBI:16998	CHEBI:16733
CHEBI:16998	CHEBI:28044
CHEBI:17026	CHEBI:36885
CHEBI:17026	CHEBI:47909
CHEBI:17026	CHEBI:64600
CHEBI:17029	BFO:0000004
CHEBI:17029	CHEBI:21638
CHEBI:17029	CHEBI:22506
CHEBI:17087	CHEBI:36586
CHEBI:17089	CHEBI:33837
CHEBI:17089	CHEBI:63299
CHEBI:17234	BFO:0000004
CHEBI:17234	CHEBI:33917
CHEBI:17258	CHEBI:35584
CHEBI:17272	BFO:0000004
CHEBI:17272	CHEBI:78113
CHEBI:17295	CHEBI:28044
CHEBI:17295	CHEBI:73690
CHEBI:173084	CHEBI:35222
CHEBI:173084	CHEBI:52206
CHEBI:173085	CHEBI:52206
CHEBI:17326	BFO:0000004
CHEBI:17326	CHEBI:25608
CHEBI:17347	BFO:0000004
CHEBI:17347	CHEBI:131621
CHEBI:17347	CHEBI:35343
CHEBI:17347	CHEBI:47909
CHEBI:17347	CHEBI:50402
CHEBI:17478	CHEBI:36586
CHEBI:17544	BFO:0000004
CHEBI:17544	CHEBI:35604
CHEBI:17578	BFO:0000004
CHEBI:17578	CHEBI:134179
CHEBI:17578	CHEBI:27024
CHEBI:17578	CHEBI:38975
CHEBI:17579	BFO:0000004
CHEBI:17579	CHEBI:139120
CHEBI:17579	CHEBI:35163
CHEBI:17608	CHEBI:33917
CHEBI:17608	CHEBI:4194
CHEBI:17634	CHEBI:17234
CHEBI:17634	CHEBI:17608
CHEBI:176497	CHEBI:50267
CHEBI:17668	CHEBI:16862
CHEBI:17761	CHEBI:26739
CHEBI:17761	CHEBI:37622
CHEBI:17843	CHEBI:33697
CHEBI:17891	CHEBI:51086
CHEBI:17895	CHEBI:18186
CHEBI:17895	CHEBI:73690
CHEBI:17968	BFO:0000004
CHEBI:17968	CHEBI:78115
CHEBI:17972	CHEBI:17326
CHEBI:18059	CHEBI:50860
CHEBI:18085	CHEBI:22506
CHEBI:18133	CHEBI:35381
CHEBI:18154	CHEBI:16646
CHEBI:18154	CHEBI:167559
CHEBI:18154	CHEBI:33694
CHEBI:18186	CHEBI:26167
CHEBI:18186	CHEBI:33704
CHEBI:18186	CHEBI:33856
CHEBI:18237	CHEBI:26167
CHEBI:18237	CHEBI:33704
CHEBI:18243	CHEBI:33567
CHEBI:18246	CHEBI:28793
CHEBI:18248	BFO:0000004
CHEBI:18248	CHEBI:33356
CHEBI:18254	CHEBI:33838
CHEBI:18254	CHEBI:47019
CHEBI:18282	CHEBI:38101
CHEBI:18295	CHEBI:24780
CHEBI:18295	CHEBI:64365
CHEBI:18310	CHEBI:24632
CHEBI:18310	CHEBI:33653
CHEBI:18357	CHEBI:33569
CHEBI:18367	CHEBI:35780
CHEBI:18367	CHEBI:79387
CHEBI:190295	CHEBI:167164
CHEBI:190295	CHEBI:24839
CHEBI:194548	CHEBI:33567
CHEBI:20664	CHEBI:35519
CHEBI:20706	CHEBI:22527
CHEBI:21638	CHEBI:21656
CHEBI:21638	CHEBI:24271
CHEBI:21656	CHEBI:24586
CHEBI:21731	CHEBI:35352
CHEBI:21731	CHEBI:63161
CHEBI:21968	CHEBI:25703
CHEBI:21968	CHEBI:26051
CHEBI:21968	CHEBI:37734
CHEBI:22160	CHEBI:37622
CHEBI:22221	CHEBI:33247
CHEBI:22256	CHEBI:61296
CHEBI:22260	CHEBI:26399
CHEBI:22313	CHEBI:33318
CHEBI:22313	CHEBI:33521
CHEBI:22313	CHEBI:33559
CHEBI:22314	CHEBI:33318
CHEBI:22314	CHEBI:33521
CHEBI:22314	CHEBI:33559
CHEBI:22315	BFO:0000004
CHEBI:22315	CHEBI:35352
CHEBI:22492	CHEBI:17478
CHEBI:22506	CHEBI:35352
CHEBI:22506	CHEBI:65212
CHEBI:22527	CHEBI:26401
CHEBI:22563	CHEBI:24870
CHEBI:22586	CHEBI:51086
CHEBI:22695	CHEBI:51086
CHEBI:22712	CHEBI:33836
CHEBI:22728	CHEBI:27171
CHEBI:22728	CHEBI:38101
CHEBI:22728	CHEBI:38180
CHEBI:22744	CHEBI:33452
