Subject	Object
UBERON:0001772	UBERON:0001772
UBERON:0038587	UBERON:0038587
UBERON:3000896	UBERON:3000896
UBERON:0004372	UBERON:0004372
UBERON:0003207	UBERON:0003207
GO:0051034	GO:0051033
GO:0051033	GO:0051033
UBERON:0015828	UBERON:0015828
GO:0046130	GO:0046130
GO:0006154	GO:0046130
GO:0050679	GO:0050679
GO:1901647	GO:0050679
GO:1904692	GO:0050679
GO:1905564	GO:0050679
GO:0060054	GO:0050679
GO:1904056	GO:0050679
GO:0001938	GO:0050679
GO:0050677	GO:0050679
GO:1904004	GO:0050679
GO:0010838	GO:0050679
GO:1904699	GO:0050679
GO:0060769	GO:0050679
GO:1904197	GO:0050679
GO:0060501	GO:0050679
UBERON:2000202	UBERON:2000202
UBERON:0003034	UBERON:0003034
GO:0061047	GO:0061047
GO:0016447	GO:0016447
GO:0045190	GO:0016447
GO:0071707	GO:0016447
GO:0033152	GO:0016447
GO:0002204	GO:0016447
GO:0071708	GO:0016447
UBERON:0019190	UBERON:0019190
UBERON:0005481	UBERON:0005481
UBERON:0004622	UBERON:0004622
UBERON:0014379	UBERON:0014379
UBERON:1200000	UBERON:1200000
UBERON:0005307	UBERON:0005307
UBERON:0018685	UBERON:0018685
UBERON:2002063	UBERON:2002063
GO:0106027	GO:0106027
UBERON:0002932	UBERON:0002932
GO:1903848	GO:1903848
UBERON:0010970	UBERON:0010970
UBERON:0010981	UBERON:0010970
UBERON:0010974	UBERON:0010970
UBERON:0011896	UBERON:0011896
UBERON:0022242	UBERON:0022242
GO:0002395	GO:0002395
GO:1901628	GO:1901626
GO:1901627	GO:1901626
GO:1901626	GO:1901626
CHEBI:17544	CHEBI:25696
CHEBI:32494	CHEBI:25696
CHEBI:32773	CHEBI:25696
CHEBI:29989	CHEBI:25696
CHEBI:35604	CHEBI:25696
CHEBI:50160	CHEBI:25696
CHEBI:63551	CHEBI:25696
CHEBI:29934	CHEBI:25696
CHEBI:58953	CHEBI:25696
CHEBI:63473	CHEBI:25696
CHEBI:61557	CHEBI:25696
CHEBI:29986	CHEBI:25696
CHEBI:28965	CHEBI:25696
CHEBI:62338	CHEBI:25696
CHEBI:57852	CHEBI:25696
CHEBI:30616	CHEBI:25696
CHEBI:71666	CHEBI:25696
CHEBI:59814	CHEBI:25696
CHEBI:59252	CHEBI:25696
CHEBI:58945	CHEBI:25696
CHEBI:38716	CHEBI:25696
CHEBI:58958	CHEBI:25696
CHEBI:58104	CHEBI:25696
CHEBI:33721	CHEBI:25696
CHEBI:15740	CHEBI:25696
CHEBI:30566	CHEBI:25696
CHEBI:35903	CHEBI:25696
CHEBI:25696	CHEBI:25696
CHEBI:32504	CHEBI:25696
CHEBI:28868	CHEBI:25696
CHEBI:17968	CHEBI:25696
CHEBI:41609	CHEBI:25696
CHEBI:74955	CHEBI:25696
CHEBI:58954	CHEBI:25696
CHEBI:78115	CHEBI:25696
CHEBI:35693	CHEBI:25696
CHEBI:37022	CHEBI:25696
CHEBI:30089	CHEBI:25696
CHEBI:59203	CHEBI:25696
CHEBI:32784	CHEBI:25696
