Subject	Object	IRI
BFO:0000001	entity	http://purl.obolibrary.org/obo/BFO_0000001
BFO:0000002	continuant	http://purl.obolibrary.org/obo/BFO_0000002
BFO:0000003	occurrent	http://purl.obolibrary.org/obo/BFO_0000003
BFO:0000004	independent continuant	http://purl.obolibrary.org/obo/BFO_0000004
BFO:0000006	spatial region	http://purl.obolibrary.org/obo/BFO_0000006
BFO:0000015	process	http://purl.obolibrary.org/obo/BFO_0000015
BFO:0000016	disposition	http://purl.obolibrary.org/obo/BFO_0000016
BFO:0000017	realizable entity	http://purl.obolibrary.org/obo/BFO_0000017
BFO:0000019	quality	http://purl.obolibrary.org/obo/BFO_0000019
BFO:0000020	specifically dependent continuant	http://purl.obolibrary.org/obo/BFO_0000020
BFO:0000023	role	http://purl.obolibrary.org/obo/BFO_0000023
BFO:0000031	generically dependent continuant	http://purl.obolibrary.org/obo/BFO_0000031
BFO:0000034	function	http://purl.obolibrary.org/obo/BFO_0000034
BFO:0000040	material entity	http://purl.obolibrary.org/obo/BFO_0000040
BFO:0000141	immaterial entity	http://purl.obolibrary.org/obo/BFO_0000141
BSPO:0000000	left side	http://purl.obolibrary.org/obo/BSPO_0000000
BSPO:0000007	right side	http://purl.obolibrary.org/obo/BSPO_0000007
BSPO:0000010	anatomical axis	http://purl.obolibrary.org/obo/BSPO_0000010
BSPO:0000013	anterior-posterior axis	http://purl.obolibrary.org/obo/BSPO_0000013
BSPO:0000016	dorsal-ventral axis	http://purl.obolibrary.org/obo/BSPO_0000016
BSPO:0000017	left-right axis	http://purl.obolibrary.org/obo/BSPO_0000017
BSPO:0000018	transverse plane	http://purl.obolibrary.org/obo/BSPO_0000018
BSPO:0000019	horizontal plane	http://purl.obolibrary.org/obo/BSPO_0000019
BSPO:0000054	anatomical side	http://purl.obolibrary.org/obo/BSPO_0000054
BSPO:0000070	anatomical region	http://purl.obolibrary.org/obo/BSPO_0000070
BSPO:0000400	anatomical plane	http://purl.obolibrary.org/obo/BSPO_0000400
BSPO:0000417	sagittal plane	http://purl.obolibrary.org/obo/BSPO_0000417
CARO:0000000	anatomical entity	http://purl.obolibrary.org/obo/CARO_0000000
CARO:0000003	anatomical structure	http://purl.obolibrary.org/obo/CARO_0000003
CARO:0000006	material anatomical entity	http://purl.obolibrary.org/obo/CARO_0000006
