Subject	Object
BSPO:0000096	rostral_to
RO:0002207	has developmental precursor
RO:0002491	exists during
RO:0013001	has synaptic input or output in
RO:0015004	has marker signature set
RO:0015004	has marker gene combination
RO:0018036	is desmotrope of
RO:0018039	is optical isomer of
BSPO:0000000	left
BSPO:0000007	right
BSPO:0000013	anteroposterior axis
BSPO:0000013	AP axis
BSPO:0000013	A-P axis
BSPO:0000016	dorsoventral axis
BSPO:0000016	DV axis
BSPO:0000016	D-V axis
BSPO:0000017	right-left axis
BSPO:0000017	right to left axis
BSPO:0000017	left to right axis
BSPO:0000017	dextro-sinister axis
BSPO:0000017	RL axis
BSPO:0000017	R-L axis
BSPO:0000017	LR axis
BSPO:0000017	L-R axis
BSPO:0000018	transverse section
BSPO:0000018	axial section
BSPO:0000018	axial plane
BSPO:0000019	horizontal section
BSPO:0000019	horizontal anatomical plane
BSPO:0000019	frontal plane
BSPO:0000400	section
BSPO:0000400	plane
BSPO:0000400	anatomical section
BSPO:0000400	anatomical cross-section
BSPO:0000417	sagittal section
BSPO:0000417	median plane
BSPO:0000417	left/right plane
CHEBI:10545	electron
CHEBI:13850	apoprotein
CHEBI:13941	carbamate
CHEBI:141668	(2S)-1-(4-hydroxyphenyl)-3-oxopropan-2-aminium
CHEBI:14321	hydrogen glutamate
CHEBI:15354	2-hydroxy-N,N,N-trimethylethanaminium
CHEBI:15355	2-acetyloxy-N,N,N-trimethylethanaminium
CHEBI:15366	acetic acid
CHEBI:15366	Acetic acid
CHEBI:15366	ACETIC ACID
CHEBI:15377	water
CHEBI:15377	oxidane
CHEBI:15377	Water
CHEBI:15377	WATER
CHEBI:15378	hydron
CHEBI:15378	hydrogen(1+)
CHEBI:15379	dioxygen
CHEBI:15379	Oxygen
CHEBI:15422	adenosine 5'-(tetrahydrogen triphosphate)
CHEBI:15440	(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene
CHEBI:15705	L-alpha-amino acids
CHEBI:15740	formate
CHEBI:15841	polypeptides
CHEBI:15966	D-glutamic acid
CHEBI:15966	D-Glutamic acid
CHEBI:15966	(2R)-2-aminopentanedioic acid
CHEBI:16015	L-glutamic acid
CHEBI:16015	L-Glutamic acid
CHEBI:16015	GLUTAMIC ACID
CHEBI:16015	(2S)-2-aminopentanedioic acid
CHEBI:16134	azane
CHEBI:16134	ammonia
CHEBI:16134	Ammonia
CHEBI:16134	AMMONIA
CHEBI:16189	tetraoxosulfate(VI)
CHEBI:16189	tetraoxosulfate(2-)
CHEBI:16189	tetraoxidosulfate(2-)
CHEBI:16189	sulfate
CHEBI:16189	Sulfate
CHEBI:16234	oxidanide
CHEBI:16234	hydroxide
CHEBI:16234	hydridooxygenate(1-)
CHEBI:16335	adenosine
CHEBI:16335	Adenosine
CHEBI:16335	ADENOSINE
CHEBI:16526	methanedione
CHEBI:16526	dioxidocarbon
CHEBI:16526	carbon dioxide
CHEBI:16526	Carbon dioxide
CHEBI:16526	CARBON DIOXIDE
CHEBI:16646	carbohydrates
CHEBI:16646	carbohydrate
CHEBI:16670	peptides
CHEBI:166902	2-(3,4-dihydroxyphenyl)-2-hydroxyethanaminium
CHEBI:16708	9H-purin-6-amine
CHEBI:16716	benzene
CHEBI:16716	Benzene
CHEBI:16716	BENZENE
CHEBI:16733	D-alpha-amino acids
CHEBI:16761	adenosine 5'-(trihydrogen diphosphate)
CHEBI:16761	Adenosine 5'-diphosphate
CHEBI:16765	2-(1H-indol-3-yl)ethanamine
CHEBI:16765	2-(1H-INDOL-3-YL)ETHANAMINE
CHEBI:16796	N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide
CHEBI:16865	4-aminobutanoic acid
CHEBI:16865	4-Aminobutanoic acid
CHEBI:16988	D-ribose
CHEBI:16988	D-ribo-pentose
CHEBI:16990	bilirubin
CHEBI:16990	Bilirubin
CHEBI:16990	3,18-diethenyl-2,7,13,17-tetramethyl-1,19-dioxo-1,10,19,22,23,24-hexahydro-21H-biline-8,12-dipropanoic acid
CHEBI:16991	deoxyribonucleic acids
CHEBI:16998	D-phenylalanine
CHEBI:16998	D-Phenylalanine
CHEBI:16998	D-PHENYLALANINE
CHEBI:16998	(2R)-2-amino-3-phenylpropanoic acid
CHEBI:17026	pregn-4-ene-3,20-dione
CHEBI:17029	(1->4)-2-acetamido-2-deoxy-beta-D-glucan
CHEBI:17087	ketones
CHEBI:17089	glycoproteins
CHEBI:17234	glucose
CHEBI:17234	gluco-hexose
CHEBI:17234	Glucose
CHEBI:17258	Purine
CHEBI:17258	7H-purine
CHEBI:17272	propanoate
CHEBI:17295	L-phenylalanine
CHEBI:17295	L-Phenylalanine
CHEBI:17295	(2S)-2-amino-3-phenylpropanoic acid
CHEBI:17347	17beta-hydroxyandrost-4-en-3-one
CHEBI:17478	aldehydes
CHEBI:17478	aldehyde
CHEBI:17478	Aldehyde
CHEBI:17544	hydroxidodioxidocarbonate(1-)
CHEBI:17544	hydrogentrioxocarbonate(IV)
CHEBI:17544	hydrogentrioxocarbonate(1-)
CHEBI:17544	hydrogencarbonate(1-)
CHEBI:17544	hydrogencarbonate
CHEBI:17544	hydrogen(trioxidocarbonate)(1-)
CHEBI:17544	Hydrogencarbonate
CHEBI:17578	toluene
CHEBI:17578	Toluene
CHEBI:17578	TOLUENE
CHEBI:17579	beta,beta-carotene
CHEBI:17634	D-glucose
CHEBI:17634	D-gluco-hexose
CHEBI:17843	transfer RNA
CHEBI:17895	TYROSINE
CHEBI:17895	L-tyrosine
CHEBI:17895	L-Tyrosine
CHEBI:17968	butanoate
CHEBI:18059	lipids
CHEBI:18085	glycosaminoglycan
CHEBI:18085	Glycosaminoglycan
CHEBI:18154	polysaccharides
CHEBI:18186	tyrosine
CHEBI:18186	Tyrosine
CHEBI:18237	glutamic acid
CHEBI:18237	2-aminopentanedioic acid
CHEBI:18243	4-(2-aminoethyl)benzene-1,2-diol
CHEBI:18243	4-(2-Aminoethyl)benzene-1,2-diol
CHEBI:18246	(1->4)-beta-D-glucopyranan
CHEBI:18248	iron
CHEBI:18248	Iron
CHEBI:18282	Base
CHEBI:18295	2-(1H-imidazol-4-yl)ethanamine
CHEBI:18310	alkanes
CHEBI:18310	alkane
CHEBI:18310	Alkane
CHEBI:18357	4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol
CHEBI:18367	tetraoxophosphate(V)
CHEBI:18367	tetraoxophosphate(3-)
CHEBI:18367	tetraoxidophosphate(3-)
CHEBI:18367	phosphate
CHEBI:18367	Phosphate
CHEBI:194548	4-[1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol
CHEBI:20664	5beta-cholane
CHEBI:21731	glycosylamine
CHEBI:22221	alkanoyl
CHEBI:22313	alkaline earth metals
CHEBI:22314	alkali metals
CHEBI:22315	alkaloids
CHEBI:22563	anion
CHEBI:22695	base
CHEBI:22744	benzyl
CHEBI:22984	calcium
CHEBI:23004	carbamoyl
CHEBI:23019	carbonyl
CHEBI:23042	carotenes
CHEBI:23044	carotenoid
CHEBI:23357	cofactors
CHEBI:23367	molecular entity
CHEBI:234420	(2S)-2-(3,4-dihydroxyphenyl)-2-hydroxyethanaminium
CHEBI:23924	enzyme inhibitor
CHEBI:24433	group
CHEBI:24533	heterodetic cyclic peptide
CHEBI:24632	hydrocarbons
CHEBI:24632	hydrocarbon
CHEBI:24636	proton
CHEBI:24636	protium(1+)
CHEBI:24833	oxoacids
CHEBI:24833	oxoacid
CHEBI:24866	salt
CHEBI:24870	ion
CHEBI:24875	iron cation
CHEBI:24913	isoprenoids
CHEBI:25212	metabolite
CHEBI:25555	nitrogen
CHEBI:25585	nonmetal
CHEBI:25754	oxo carboxylic acids
CHEBI:25805	oxygen
CHEBI:26020	phosphates
CHEBI:26078	trihydroxidooxidophosphorus
CHEBI:26078	trihydrogen tetraoxophosphate(3-)
CHEBI:26078	tetraoxophosphoric acid
CHEBI:26214	porphyrins
CHEBI:26216	potassium
CHEBI:26708	sodium
CHEBI:26833	sulfur
CHEBI:26836	tetraoxosulfuric acid
CHEBI:26836	sulfuric acid
CHEBI:26836	hydrogen tetraoxosulfate(VI)
CHEBI:26836	hydrogen tetraoxosulfate(2-)
CHEBI:26836	dihydroxidodioxidosulfur
